"","A1-6854_S1","A3-6830_S17","B1-6855_S2","B2-6813_S10","B3-6832_S18","C1-6872_S3","C2-6821_S11","C3-6835_S19","D1-6863_S4","D2-6822_S12","D3-6843_S20","E1-6870_S5","E2-6826_S13","F1-6803_S6","F2-6845_S14","G1-6806_S7","G2-6847_S15_1","H1-6807_S8","H2-6848_S16"
"DN100984",0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0
"DN101171",0,2,0,2,1,1,5,0,0,10,1,0,8,0,0,0,0,1,0
"DN101513",0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0
"DN101954",0,0,1,2,1,0,0,2,0,2,0,2,3,0,0,1,0,2,0
"DN102633",0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0
"DN103412",0,0,24,0,29,1,14,0,2,13,2,0,47,1,1,0,2,0,0
"DN104816",0,0,2,2,2,0,0,1,0,1,0,0,3,0,0,0,1,0,0
"DN105152",0,0,1,1,0,0,0,2,0,1,0,0,5,1,0,2,4,0,2
"DN105263",0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1
"DN105624",0,4,12,12,0,0,0,4,0,8,0,0,12,4,0,0,0,0,0
"DN105651",0,0,0,0,3,0,0,1,1,0,0,0,3,0,0,0,0,0,0
"DN105673",0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"DN106388",629,205,881,456,329,372,388,238,1217,741,695,342,628,392,210,469,204,241,143
"DN106845",0,0,9,0,0,0,0,0,28,0,0,12,0,0,0,0,0,0,13
"DN106985",0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,3,0,1,0
"DN107183",1,1,3,1,3,0,1,5,2,0,7,2,0,0,0,1,3,0,1
"DN107295",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0
"DN108420",1,6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0
"DN108423",0,0,1,1,1,0,0,1,0,0,2,0,1,2,0,0,0,0,0
"DN110241",0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
"DN110710",0,2,0,0,0,0,2,0,1,2,0,0,1,1,1,0,1,0,0
"DN110741",1,0,1,0,0,2,0,0,0,3,0,1,1,0,0,1,0,0,0
"DN110916",7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DN111671",0,0,0,0,1,0,0,0,1,5,0,1,0,0,0,0,0,0,0
"DN112007",0,0,0,1,0,0,2,0,1,7,1,0,11,0,0,0,0,0,1
"DN112160",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
"DN11218",0,0,2,0,0,1,0,2,0,0,0,0,1,1,0,0,2,0,2
"DN112268",0,0,3,0,1,1,2,0,2,2,1,2,5,0,1,2,0,0,1
"DN112723",0,15,0,0,24,0,2,25,0,2,11,0,0,0,12,0,0,0,0
"DN112868",0,0,2,2,1,2,2,0,0,0,1,1,16,0,3,3,0,5,2
"DN113599",0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
"DN114514",0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0
"DN114584",0,1,0,0,0,0,5,3,0,1,2,0,8,1,2,0,3,0,1
"DN116471",113,2,2,7,2,2,3,0,0,5,0,1,1,2,2,2,2,5,1
"DN116914",0,0,0,0,10,0,2,6,10,10,7,0,13,0,0,3,0,0,2
"DN117129",0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"DN117137",0,8,27,9,14,2,5,2,27,6,6,5,6,12,6,11,0,6,1
"DN117210",0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0
"DN117486",0,0,0,0,1,1,0,0,0,0,5,0,5,0,0,0,0,0,0
"DN117663",0,0,3,3,1,0,0,0,4,0,1,5,0,6,0,0,0,0,4
"DN11778",0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0
"DN117829",0,0,0,0,1,0,0,6,0,0,17,0,0,0,0,0,0,0,0
"DN117897",0,0,0,0,0,1,0,0,0,0,31,0,0,0,10,0,43,0,0
"DN117981",1,0,2,0,2,0,1,1,3,0,0,1,0,1,2,0,3,2,0
"DN118338",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DN119626",1,0,2,0,0,4,0,0,2,0,1,0,3,2,0,5,0,3,0
"DN120023",1,3,2,1,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0
"DN121217",1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0
"DN121296",0,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0
"DN121644",1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
"DN122103",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1
"DN122248",2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0
"DN122496",1,0,7,0,0,0,9,5,18,0,0,8,14,1,2,0,0,0,0
"DN123008",1,3,3,2,4,1,0,0,1,5,9,2,6,1,2,0,0,0,1
"DN123707",2,3,8,0,1,2,0,1,4,0,2,0,0,0,3,1,1,1,0
"DN124003",20,0,31,11,87,14,31,26,153,76,231,21,71,13,0,12,4,7,0
"DN124118",1,1,5,2,1,3,0,0,4,3,8,0,2,0,0,1,0,0,0
"DN124275",0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
"DN125326",0,0,8,2,0,1,1,1,8,5,4,0,7,5,2,4,0,1,0
"DN125607",0,0,0,0,2,2,0,3,2,0,0,0,1,2,0,0,0,0,0
"DN1260",3,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,1,0,1
"DN126811",0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
"DN126852",19,122,43,206,19,0,126,136,0,178,128,0,122,223,260,114,116,110,169
"DN127950",0,1,1,1,0,0,0,0,4,0,0,0,1,0,2,0,0,1,1
"DN129554",0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"DN130050",0,0,0,1,3,0,0,3,0,1,0,0,2,0,0,0,0,0,0
"DN130124",0,2,6,0,1,1,0,1,4,2,6,1,4,1,0,1,1,0,3
"DN131037",0,1,0,1,0,1,4,0,1,0,0,3,0,0,0,0,0,0,0
"DN132308",1,1,1,5,1,5,4,3,18,11,0,4,4,10,3,9,0,5,2
"DN132626",5,3,2,5,3,0,0,3,5,1,3,2,1,2,0,1,0,0,0
"DN13422",0,2,5,3,3,1,0,1,1,2,3,2,7,5,4,2,2,0,2
"DN134824",0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
"DN135256",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2
"DN137450",0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"DN137783",0,0,1,2,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0
"DN138487",0,0,1,0,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0
"DN138960",0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,1
"DN139694",0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
"DN140240",1,8,1,1,11,0,0,6,1,2,11,0,1,0,0,0,0,1,0
"DN140270",1,0,1,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,2
"DN140427",2,17,37,14,17,9,20,6,16,58,32,10,68,10,10,4,15,5,14
"DN140460",0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DN140561",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"DN140620",0,0,0,0,1,0,0,0,1,2,4,1,1,0,0,1,0,0,1
"DN141044",0,1,4,1,4,0,1,2,5,0,4,0,2,0,0,0,5,0,1
"DN141410",5,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0
"DN142246",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,7,0
"DN142510",0,0,0,0,1,0,1,0,1,3,1,1,2,0,0,0,0,0,0
"DN142885",0,1,1,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0
"DN143052",0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"DN14320",0,0,0,1,0,0,0,0,0,4,1,0,3,0,0,0,1,0,0
"DN143494",1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"DN143832",0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"DN144030",2,4,3,10,2,12,0,2,11,3,3,7,3,5,2,5,4,8,2
"DN144105",0,2,2,0,1,2,2,3,7,3,1,1,2,4,0,0,3,2,0
"DN144166",0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,1
"DN144587",0,0,0,0,0,1,0,5,0,0,0,4,0,0,0,0,0,0,0
"DN144676",36,41,75,52,0,31,56,2,95,67,74,16,111,58,50,14,55,56,21
"DN144715",2,2,1,2,2,0,0,1,1,0,7,0,0,2,0,0,0,1,1
"DN144951",4,2,6,1,8,2,3,2,11,2,3,3,13,1,2,2,4,3,0
"DN145564",0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,2,0,1
"DN145941",0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DN146243",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0
"DN146475",0,0,1,3,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0
"DN146759",1,1,5,1,1,0,6,2,5,5,3,0,6,1,0,0,1,2,1
"DN147086",0,2,2,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1
"DN147531",3,11,0,0,0,1,1,3,12,0,12,7,1,3,0,2,1,2,1
"DN147841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
"DN148476",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"DN148543",1,0,3,2,13,1,1,5,0,1,11,0,6,2,0,1,3,1,0
"DN149555",1,0,4,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0
"DN149627",2,0,0,0,4,1,0,3,3,0,2,0,1,0,1,0,2,0,1
"DN149974",0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0
"DN150179",21,105,283,36,161,275,6,94,317,70,237,105,197,21,48,56,200,26,68
"DN150333",1,1,3,2,2,0,0,0,3,3,8,0,2,1,2,0,3,1,0
"DN150395",0,3,0,1,0,0,3,0,0,3,0,0,2,1,0,0,1,1,0
"DN150772",0,2,0,0,0,0,0,0,3,1,0,0,2,0,2,0,2,0,1
"DN151131",1,6,1,1,1,0,3,1,1,0,0,0,3,2,3,0,2,0,2
"DN151212",519,234,488,413,557,593,595,562,643,318,349,375,694,651,518,494,550,523,405
"DN151695",0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0
"DN151939",1,0,6,1,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6
"DN152021",0,0,1,1,1,4,1,1,1,2,1,0,0,0,0,0,0,0,0
"DN15218",2,2,1,1,1,1,3,0,0,2,0,1,2,2,1,2,1,0,2
"DN152584",0,1,7,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"DN152871",1,0,0,1,1,0,0,1,3,0,4,0,1,0,1,0,2,1,0
"DN153400",3,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0
"DN153897",2,0,5,1,0,1,1,0,7,0,2,0,2,3,0,1,0,1,0
"DN154032",0,7,1,0,5,1,5,6,1,1,6,0,2,5,9,5,0,0,1
"DN154353",1,0,0,1,1,0,0,0,0,0,1,0,5,1,0,0,3,3,0
"DN154989",2,6,3,1,4,0,1,0,4,1,4,1,2,0,2,1,0,1,2
"DN155269",1,7,6,6,7,2,2,3,5,15,7,0,4,43,3,7,1,5,1
"DN155296",1,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"DN155550",11,18,32,15,11,3,12,8,26,30,16,4,39,6,7,3,16,8,12
"DN156271",0,1,0,2,0,0,2,0,0,1,0,1,0,0,0,1,1,2,2
"DN156292",0,0,0,0,2,0,2,0,1,0,2,2,3,1,0,0,0,2,1
"DN156355",5,11,13,2,8,0,4,4,1,6,13,0,6,3,2,1,7,2,3
"DN156659",0,0,0,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0
"DN15666",0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2
"DN156668",0,0,0,0,0,0,2,0,5,0,0,0,0,3,0,0,0,4,0
"DN156695",0,5,1,0,3,0,4,0,5,8,1,1,10,4,2,2,6,1,6
"DN156779",0,0,3,3,2,0,0,0,4,1,1,0,5,1,0,2,0,4,3
"DN156929",32,26,0,4,137,0,0,72,52,0,63,1,0,0,0,0,0,0,0
"DN157576",0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0
"DN157737",0,4,0,0,3,0,0,5,0,0,2,0,0,0,0,0,0,0,0
"DN15777",0,2,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"DN157777",0,0,1,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,1
"DN157909",0,0,0,1,0,0,3,0,1,8,0,2,0,0,1,0,0,0,0
"DN158246",0,0,0,1,0,0,1,0,1,3,1,0,4,1,0,0,0,0,0
"DN158422",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DN159159",12,13,34,21,19,9,37,11,30,112,57,6,64,14,10,9,27,16,26
"DN159788",0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,1,2,0,1
"DN159825",0,1,4,0,1,1,0,1,1,3,5,2,1,0,1,2,1,0,2
"DN159860",0,0,0,1,3,0,0,1,0,2,3,0,1,0,0,0,2,0,0
"DN160308",0,2,5,0,0,3,0,1,0,0,2,1,3,2,0,0,0,0,1
"DN16080",0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0
"DN16081",0,5,0,9,8,0,4,0,3,3,3,0,5,4,0,2,0,0,0
"DN160945",0,13,0,0,0,0,0,0,1,1,16,0,0,0,0,2,0,0,0
"DN16102",1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"DN162558",1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"DN16293",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0
"DN164552",0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0
"DN165198",0,3,0,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,0
"DN165243",32,6,20,3,10,21,32,9,36,10,7,20,19,14,9,5,12,9,9
"DN165410",2,1,2,0,1,0,2,1,0,0,1,1,3,1,1,2,0,0,0
"DN165510",0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0
"DN166869",4,57,0,1,26,3,8,15,0,0,2,1,1,0,3,0,5,1,8
"DN166950",0,1,0,0,0,0,0,2,0,1,1,0,3,0,0,0,3,0,0
"DN167112",1,0,0,2,1,0,0,1,1,0,1,1,3,0,0,0,2,0,0
"DN16805",0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0
"DN168997",60,0,7,0,6,14,5,22,163,10,0,30,18,2,12,7,11,8,8
"DN169172",1,1,1,0,1,0,0,0,1,4,0,2,0,1,1,5,0,0,0
"DN16942",2,0,2,7,2,0,4,1,8,5,3,1,3,2,1,6,6,0,3
"DN170404",0,0,0,2,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0
"DN170537",1,6,2,0,0,1,6,13,4,12,30,0,17,5,0,2,0,16,9
"DN170637",0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0
"DN171234",0,0,0,1,1,1,1,0,0,2,3,0,4,0,0,0,2,0,0
"DN171477",0,0,1,1,0,0,4,1,1,7,1,0,11,1,1,0,1,1,1
"DN171561",0,0,0,0,0,0,0,2,4,0,4,0,11,0,0,1,0,1,0
"DN171866",1,5,2,3,0,0,3,1,4,5,4,1,5,0,1,2,4,0,5
"DN173113",0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0
"DN173268",0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"DN17427",1,0,6,0,3,0,0,0,0,3,4,0,1,0,0,0,0,0,0
"DN175002",11,7,19,12,13,17,15,15,12,18,11,15,17,25,12,16,13,14,3
"DN175160",0,1,1,0,0,0,2,0,2,2,1,0,3,0,2,1,3,0,0
"DN175186",2,0,10,0,2,0,0,1,0,0,0,0,0,0,1,0,8,0,0
"DN175524",0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"DN175850",0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0
"DN176020",1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0
"DN176503",680,333,433,787,218,743,455,457,866,441,676,328,675,533,1267,472,1083,538,428
"DN17703",0,4,2,1,4,1,0,3,3,0,4,1,2,2,0,1,1,0,0
"DN177356",0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DN178387",0,2,0,0,1,0,0,0,0,2,2,0,0,1,0,1,1,0,0
"DN178928",1,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,2,0
"DN179183",0,0,5,2,7,3,1,4,4,2,4,2,9,4,2,2,3,3,1
"DN179542",0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0
"DN179809",1,15,5,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0
"DN179823",13,19,28,17,38,14,56,22,12,90,39,5,206,23,13,1,22,4,31
"DN180224",0,1,0,0,1,1,1,0,4,0,0,0,14,1,0,0,2,0,1
"DN180526",0,0,0,0,0,0,2,0,0,0,4,0,0,0,4,0,0,1,0
"DN181713",0,0,3,1,0,0,0,1,2,1,0,0,2,0,2,0,0,0,0
"DN182463",0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
"DN183873",0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
"DN183899",0,54,0,0,0,0,37,0,0,53,0,0,22,0,2,3,8,0,21
"DN184074",1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1
"DN184633",0,0,0,0,0,2,0,1,0,1,1,0,3,0,0,0,0,0,0
"DN184635",1,3,0,0,2,0,3,1,1,5,3,0,1,1,0,3,0,0,0
"DN184914",0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"DN185068",0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"DN185177",5,5,21,10,5,3,5,4,12,6,14,2,11,2,5,4,9,3,5
"DN185334",15,71,16,2,12,32,152,10,13,19,11,48,14,30,8,27,18,1,39
"DN185451",0,0,1,0,3,1,1,0,0,3,1,1,1,0,0,0,1,0,0
"DN186288",0,0,0,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0
"DN186887",534,389,436,561,536,633,628,668,645,446,659,368,719,618,497,422,427,408,243
"DN188430",4,3,0,6,9,4,11,13,6,0,10,0,0,0,0,0,7,1,3
"DN188514",0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
"DN188614",0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
"DN188901",0,1,0,4,0,0,2,0,3,0,0,1,0,0,0,5,1,1,1
"DN189177",0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"DN18924",0,0,7,0,0,6,4,0,6,1,0,0,0,0,0,0,0,0,0
"DN18945",0,2,6,0,5,0,0,2,5,8,4,0,6,0,0,0,0,0,0
"DN189839",0,0,1,2,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
"DN189863",0,0,1,0,0,0,0,0,0,4,2,0,5,0,0,0,0,1,0
"DN19009",0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"DN190575",0,1,0,1,0,0,2,1,1,3,2,0,1,0,2,0,1,0,0
"DN190758",0,1,0,0,3,9,2,6,2,0,7,1,1,3,10,6,1,0,0
"DN190986",0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0
"DN191241",3,1,11,3,9,1,3,2,2,17,13,0,17,6,5,5,9,3,4
"DN191561",0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"DN19294",10,2,0,0,1,10,1,1,24,3,1,0,16,1,0,0,2,0,0
"DN193100",2,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0
"DN193767",0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0
"DN194327",0,7,2,3,2,3,9,2,10,1,2,2,1,6,5,6,4,3,3
"DN194764",0,1,0,1,0,0,0,0,1,3,0,0,3,1,0,0,2,0,0
"DN195363",0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
"DN195646",0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0
"DN195778",0,2,2,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0
"DN196252",0,2,2,1,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0
"DN196680",0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,1,0,0
"DN197073",1,0,2,1,0,0,0,0,1,0,2,0,4,1,1,0,1,3,6
"DN197074",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
"DN197116",1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DN198138",0,2,1,0,1,0,2,0,2,3,3,1,2,1,1,1,0,1,3
"DN198720",0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0
"DN198741",2,1,0,0,0,0,1,1,0,0,1,1,2,0,1,0,0,2,0
"DN199062",0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
"DN199422",6,4,11,2,12,4,12,2,9,40,11,2,15,1,2,2,5,7,8
"DN200063",0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0
"DN200079",0,0,0,0,6,0,1,1,0,0,1,0,0,0,1,3,0,3,0
"DN200115",4,0,3,0,1,0,0,0,7,0,1,2,2,2,0,0,2,0,1
"DN200202",3,3,4,2,8,3,2,2,3,15,9,0,12,1,0,8,4,3,0
"DN200831",1,1,0,1,0,0,2,2,2,0,1,0,1,0,0,2,0,3,0
"DN201289",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
"DN201674",260,337,420,345,586,216,270,457,732,400,783,229,350,343,189,248,226,231,106
"DN201705",0,3,5,7,4,1,1,2,1,8,7,9,9,9,3,14,18,3,3
"DN201852",0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
"DN202315",5,1,1,12,0,3,1,2,15,6,2,0,7,10,0,4,0,2,2
"DN202720",1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DN203470",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"DN204307",0,0,0,0,0,0,0,1,1,4,0,0,1,1,0,2,0,0,0
"DN20472",0,2,2,0,4,0,2,1,0,5,5,0,4,1,3,1,1,1,0
"DN204793",1,1158,1,0,0,0,1,0,0,218,4,0,6,1,0,0,0,6,0
"DN204822",1,6,0,2,0,1,3,4,2,11,24,0,5,2,0,2,0,0,0
"DN205025",79,500,0,0,230,296,1,6,0,0,772,97,1,0,0,0,6,0,0
"DN205501",1,0,5,2,0,0,0,0,0,10,2,0,0,2,0,0,0,0,1
"DN205644",0,3,0,0,1,0,0,1,278,0,6,0,0,0,0,0,0,0,0
"DN205796",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"DN206122",1,6,8,8,4,3,10,2,6,7,8,2,6,2,2,3,2,2,5
"DN207233",0,3,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1
"DN20737",0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0
"DN207396",0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"DN208669",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"DN208680",0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"DN209474",1,0,2,1,0,3,3,1,3,1,1,0,0,0,0,0,0,3,2
"DN20952",1,0,0,0,0,0,1,6,1,0,10,0,1,0,0,0,2,0,0
"DN21056",0,1,2,0,1,6,0,3,1,0,0,0,2,1,0,1,1,1,0
"DN212209",0,0,0,0,0,0,2,1,0,0,1,0,2,0,1,0,0,0,1
"DN212774",0,0,0,0,1,0,0,1,1,0,0,0,5,0,1,0,1,0,0
"DN212962",1,0,0,1,0,0,0,0,0,0,3,2,0,3,0,0,0,3,0
"DN213267",0,3,0,1,2,0,0,2,0,0,2,0,0,0,1,1,0,0,0
"DN213351",7,11,12,13,22,5,5,7,16,1,8,4,17,7,11,1,6,0,4
"DN214451",2,1,0,4,0,0,5,2,2,8,0,0,4,5,1,8,2,8,2
"DN214531",0,6,0,4,0,1,3,1,0,13,3,0,6,2,4,6,1,4,2
"DN214715",1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,1
"DN215556",1,7,3,4,1,2,0,1,9,2,7,4,0,9,4,4,1,8,3
"DN215746",0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0
"DN215844",0,14,0,0,0,0,5,0,0,12,27,0,0,0,0,21,0,0,0
"DN217004",0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"DN217060",0,1,0,0,3,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"DN217196",0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0
"DN217373",1,0,1,3,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0
"DN217395",1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"DN217416",5,12,13,12,9,15,5,10,34,10,13,13,10,9,4,8,2,9,4
"DN218682",0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
"DN218762",0,3,1,0,0,0,1,1,1,4,2,4,7,1,2,0,0,0,2
"DN218912",1487,1427,1945,1236,2375,2432,1118,1869,2835,742,1851,1568,1261,1674,2125,1266,2630,1645,833
"DN218940",0,0,4,0,4,4,1,3,0,0,2,4,0,0,2,0,1,0,0
"DN219059",0,9,0,2,8,0,5,8,0,7,6,0,0,2,2,1,0,1,0
"DN219790",16,16,29,2,39,9,26,24,45,17,32,29,34,21,7,11,3,0,8
"DN221317",0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0
"DN221353",0,0,2,1,4,0,0,0,1,0,1,4,1,2,0,1,0,0,0
"DN221453",3,1,6,0,4,1,0,0,2,6,2,4,1,0,4,0,1,1,0
"DN221597",2,2,3,0,2,1,0,3,6,0,1,3,1,2,1,0,0,1,0
"DN221606",1,0,3,1,0,0,1,0,3,1,0,0,0,1,0,2,1,0,1
"DN222113",1,2,1,3,1,3,2,1,3,3,2,3,8,2,4,3,3,2,0
"DN22239",1,5,9,1,2,2,4,3,4,15,5,1,18,3,3,2,5,3,1
"DN222443",0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0
"DN222612",6,8,6,3,11,12,8,0,3,12,13,4,4,14,5,4,2,8,13
"DN223164",0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,3
"DN223776",0,0,0,0,3,0,0,0,1,3,5,0,0,0,0,2,0,0,0
"DN224612",2,2,5,2,0,2,4,1,2,5,3,0,6,3,1,1,0,1,1
"DN225194",0,0,0,0,0,2,0,0,3,1,1,0,1,0,0,0,0,0,2
"DN225492",2,1,16,2,0,1,8,0,6,0,9,1,1,2,3,2,2,4,1
"DN225585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
