"","A1-6854_S1","A3-6830_S17","B1-6855_S2","B2-6813_S10","B3-6832_S18","C1-6872_S3","C2-6821_S11","C3-6835_S19","D1-6863_S4","D2-6822_S12","D3-6843_S20","E1-6870_S5","E2-6826_S13","F1-6803_S6","F2-6845_S14","G1-6806_S7","G2-6847_S15_1","H1-6807_S8","H2-6848_S16"
"DN380459",2,6,15,7,9,11,7,6,18,10,18,4,12,9,7,4,13,3,3
"DN380479",14,0,10,12,0,10,12,0,15,5,1,18,0,23,10,5,8,10,2
"DN380491",0,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0
"DN380493",48,40,137,81,49,52,47,56,236,68,70,53,34,124,113,87,64,78,47
"DN380519",110,98,221,70,84,60,50,40,110,72,86,34,172,82,89,69,43,56,70
"DN380521",6,9,29,3,18,8,6,17,18,12,15,3,26,4,6,9,13,7,8
"DN380523",487,202,120,236,345,351,223,373,216,99,343,239,266,475,254,233,291,193,95
"DN380549",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"DN380594",1,0,3,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0
"DN380607",0,1,0,0,0,0,4,3,0,2,0,0,1,0,0,0,0,1,0
"DN380609",3,6,4,2,3,1,0,0,3,1,4,1,7,1,1,2,0,1,1
"DN380613",7,11,18,6,10,10,1,7,7,3,24,12,15,3,3,4,5,0,1
"DN380615",0,3,1,0,0,0,0,0,0,1,2,0,6,1,1,1,2,0,0
"DN380617",0,2,7,0,2,4,1,1,3,0,2,1,6,0,0,0,1,3,3
"DN380618",2,0,0,4,5,0,1,2,6,2,2,0,1,0,3,0,7,1,3
"DN380623",0,5,8,1,1,0,1,1,9,6,1,1,5,0,0,0,0,0,5
"DN380636",1,3,15,5,7,4,6,9,22,4,15,2,8,5,3,5,3,0,7
"DN380641",953,661,845,883,1121,938,796,1084,1037,509,1008,604,1052,1176,826,820,895,761,545
"DN380645",0,0,0,1,0,1,4,0,0,7,0,0,5,0,0,0,0,0,0
"DN380652",2,2,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0
"DN380677",1,2,9,1,1,5,1,0,0,1,1,4,0,5,4,2,2,1,2
"DN380682",21,692,30,256,331,311,7,696,834,100,1833,19,11,800,290,426,246,293,1
"DN380723",0,1,2,3,0,0,2,0,2,3,0,1,9,0,1,1,0,1,1
